,image_path,bbox,category,count,empty
0,../../pictures/01_CZARNE/B/Lato/1/2023-07-16 08-48-23.JPG,[     3234.6           0        6528      3060.6],2.0,0.0,False
1,../../pictures/01_CZARNE/B/Lato/1/2023-07-21 06-39-47.JPG,[     1913.9      2152.1      2610.9      2770.3],1.0,1.0,False
2,../../pictures/01_CZARNE/B/Lato/1/2023-07-25 13-56-58.JPG,[     1018.1      2017.4      1503.2      2375.9],1.0,1.0,False
3,../../pictures/01_CZARNE/B/Lato/1/2023-07-28 13-48-47.JPG,[     1047.4      1877.1      1913.9      2442.1],1.0,1.0,False
4,../../pictures/01_CZARNE/B/Lato/1/2023-07-29 08-26-10.JPG,[     1869.2      1535.1      2749.3      2253.4],1.0,1.0,False
5,../../pictures/01_CZARNE/B/Lato/1/2023-07-29 08-26-22.JPG,[   0.018625      1690.8      316.18      2270.8],1.0,1.0,False
6,../../pictures/01_CZARNE/B/Lato/2/2023-07-18 02-03-54.JPG,[          0           0           0           0],0.0,0.0,True
7,../../pictures/01_CZARNE/B/Lato/2/2023-07-18 02-06-43.JPG,[          0           0           0           0],0.0,0.0,True
8,../../pictures/01_CZARNE/B/Lato/2/2023-07-25 18-36-14.JPG,[          0           0           0           0],0.0,0.0,True
9,../../pictures/01_CZARNE/B/Lato/2/2023-07-26 03-47-00.JPG,[          0           0           0           0],0.0,0.0,True
10,../../pictures/01_CZARNE/B/Lato/2/2023-07-26 03-47-13.JPG,[          0           0           0           0],0.0,0.0,True
11,../../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-08.JPG,[       1135      836.09      3214.9      3391.5],1.0,1.0,False
12,../../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-16.JPG,[     926.48      1147.4      3224.7      3355.8],1.0,1.0,False
13,../../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-24.JPG,[     1210.9      1508.4      3205.4      3371.1],1.0,1.0,False
14,../../pictures/01_CZARNE/B/Lato/3/2023-07-19 05-18-16.JPG,[          0           0           0           0],0.0,0.0,True
15,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 04-52-44.JPG,[     1.7714      203.69      2168.3      3012.9],1.0,1.0,False
16,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-00-48.JPG,[       2407           0      3095.2      1639.8],2.0,0.0,False
17,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-00-56.JPG,[     985.97           0      2586.4      3506.1],2.0,0.0,False
18,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-01-03.JPG,[    0.11419           0      813.23        3479],2.0,0.0,False
19,../../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-01-15.JPG,[    0.30064           0      742.74        3464],2.0,0.0,False
20,../../pictures/01_CZARNE/B/Późna jesień/1/2022-11-28 07-13-27.JPG,[          0           0           0           0],0.0,0.0,True
21,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-44.JPG,[          0           0           0           0],0.0,0.0,True
22,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-51.JPG,[          0           0           0           0],0.0,0.0,True
23,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-22.JPG,[     685.82      1813.8      1205.8      2384.3],1.0,1.0,False
24,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-34.JPG,[          0           0           0           0],0.0,0.0,True
25,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-43.JPG,[          0           0           0           0],0.0,0.0,True
26,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-09 00-23-47.JPG,[          0           0           0           0],0.0,0.0,True
27,../../pictures/01_CZARNE/B/Późna jesień/2/2022-12-09 00-23-56.JPG,[          0           0           0           0],0.0,0.0,True
