,File,RelativePath,species
0,2023-07-16 08-48-23.JPG,01_CZARNE\B\Lato\1,bird
1,2023-07-21 06-39-47.JPG,01_CZARNE\B\Lato\1,bird
2,2023-07-25 13-56-58.JPG,01_CZARNE\B\Lato\1,bird
3,2023-07-28 13-48-47.JPG,01_CZARNE\B\Lato\1,bird
4,2023-07-29 08-26-10.JPG,01_CZARNE\B\Lato\1,bird
5,2023-07-29 08-26-22.JPG,01_CZARNE\B\Lato\1,bird
6,2023-07-18 02-03-23.JPG,01_CZARNE\B\Lato\2,reddeer
7,2023-07-18 02-03-30.JPG,01_CZARNE\B\Lato\2,reddeer
8,2023-07-18 02-03-38.JPG,01_CZARNE\B\Lato\2,reddeer
9,2023-07-18 02-03-54.JPG,01_CZARNE\B\Lato\2,reddeer
10,2023-07-18 02-06-43.JPG,01_CZARNE\B\Lato\2,reddeer
11,2023-07-18 02-09-21.JPG,01_CZARNE\B\Lato\2,reddeer
12,2023-07-18 02-10-07.JPG,01_CZARNE\B\Lato\2,reddeer
13,2023-07-18 02-10-49.JPG,01_CZARNE\B\Lato\2,reddeer
14,2023-07-18 02-11-14.JPG,01_CZARNE\B\Lato\2,reddeer
15,2023-07-18 02-11-30.JPG,01_CZARNE\B\Lato\2,reddeer
16,2023-07-19 18-51-08.JPG,01_CZARNE\B\Lato\2,reddeer
17,2023-07-19 18-51-16.JPG,01_CZARNE\B\Lato\2,reddeer
18,2023-07-19 18-51-23.JPG,01_CZARNE\B\Lato\2,reddeer
19,2023-07-19 18-51-31.JPG,01_CZARNE\B\Lato\2,reddeer
20,2023-07-19 18-51-40.JPG,01_CZARNE\B\Lato\2,reddeer
21,2023-07-19 18-54-40.JPG,01_CZARNE\B\Lato\2,reddeer
22,2023-07-25 18-36-14.JPG,01_CZARNE\B\Lato\2,Empty
23,2023-07-26 03-47-00.JPG,01_CZARNE\B\Lato\2,reddeer
24,2023-07-26 03-47-13.JPG,01_CZARNE\B\Lato\2,reddeer
25,2023-07-26 03-47-22.JPG,01_CZARNE\B\Lato\2,reddeer
26,2023-07-26 03-47-29.JPG,01_CZARNE\B\Lato\2,reddeer
27,2023-07-26 03-50-22.JPG,01_CZARNE\B\Lato\2,reddeer
28,2023-07-28 17-10-14.JPG,01_CZARNE\B\Lato\2,reddeer
29,2023-07-28 17-10-34.JPG,01_CZARNE\B\Lato\2,reddeer
30,2023-07-28 17-10-43.JPG,01_CZARNE\B\Lato\2,reddeer
31,2023-07-28 17-10-56.JPG,01_CZARNE\B\Lato\2,reddeer
32,2023-07-28 17-11-03.JPG,01_CZARNE\B\Lato\2,reddeer
33,2023-07-28 17-12-10.JPG,01_CZARNE\B\Lato\2,reddeer
34,2023-07-28 17-12-40.JPG,01_CZARNE\B\Lato\2,reddeer
35,2023-07-28 17-12-50.JPG,01_CZARNE\B\Lato\2,reddeer
36,2023-07-28 19-08-22.JPG,01_CZARNE\B\Lato\2,reddeer
37,2023-07-28 19-08-30.JPG,01_CZARNE\B\Lato\2,reddeer
38,2023-07-28 19-08-40.JPG,01_CZARNE\B\Lato\2,reddeer
39,2023-07-28 19-08-46.JPG,01_CZARNE\B\Lato\2,reddeer
40,2023-07-28 19-08-54.JPG,01_CZARNE\B\Lato\2,reddeer
41,2023-07-28 19-09-01.JPG,01_CZARNE\B\Lato\2,reddeer
42,2023-07-28 19-09-08.JPG,01_CZARNE\B\Lato\2,reddeer
43,2023-07-28 19-09-16.JPG,01_CZARNE\B\Lato\2,reddeer
44,2023-07-28 19-09-24.JPG,01_CZARNE\B\Lato\2,reddeer
45,2023-07-28 19-09-31.JPG,01_CZARNE\B\Lato\2,reddeer
46,2023-07-28 19-09-39.JPG,01_CZARNE\B\Lato\2,reddeer
47,2023-07-28 19-09-47.JPG,01_CZARNE\B\Lato\2,reddeer
48,2023-07-28 19-09-54.JPG,01_CZARNE\B\Lato\2,reddeer
49,2023-07-28 19-10-02.JPG,01_CZARNE\B\Lato\2,reddeer
50,2023-07-19 05-18-16.JPG,01_CZARNE\B\Lato\3,hare
51,2023-07-22 04-52-44.JPG,01_CZARNE\B\Lato\3,reddeer
52,2023-07-22 04-52-52.JPG,01_CZARNE\B\Lato\3,reddeer
53,2023-07-22 14-00-48.JPG,01_CZARNE\B\Lato\3,human
54,2023-07-22 14-00-56.JPG,01_CZARNE\B\Lato\3,human
55,2023-07-22 14-01-03.JPG,01_CZARNE\B\Lato\3,human
56,2023-07-22 14-01-15.JPG,01_CZARNE\B\Lato\3,human
57,2023-07-26 05-11-14.JPG,01_CZARNE\B\Lato\3,reddeer
58,2023-07-26 05-11-21.JPG,01_CZARNE\B\Lato\3,reddeer
59,2022-11-28 07-13-27.JPG,01_CZARNE\B\Późna jesień\1,Empty
60,2022-12-04 22-31-44.JPG,01_CZARNE\B\Późna jesień\2,lynx
61,2022-12-04 22-31-51.JPG,01_CZARNE\B\Późna jesień\2,lynx
62,2022-12-06 06-31-09.JPG,01_CZARNE\B\Późna jesień\2,reddeer
63,2022-12-06 06-39-01.JPG,01_CZARNE\B\Późna jesień\2,reddeer
64,2022-12-06 06-39-08.JPG,01_CZARNE\B\Późna jesień\2,reddeer
65,2022-12-06 06-39-20.JPG,01_CZARNE\B\Późna jesień\2,reddeer
66,2022-12-06 06-39-28.JPG,01_CZARNE\B\Późna jesień\2,reddeer
67,2022-12-06 06-39-42.JPG,01_CZARNE\B\Późna jesień\2,reddeer
68,2022-12-06 06-39-55.JPG,01_CZARNE\B\Późna jesień\2,reddeer
69,2022-12-06 21-22-22.JPG,01_CZARNE\B\Późna jesień\2,wolf
70,2022-12-06 21-22-34.JPG,01_CZARNE\B\Późna jesień\2,wolf
71,2022-12-06 21-22-43.JPG,01_CZARNE\B\Późna jesień\2,wolf
72,2022-12-09 00-23-47.JPG,01_CZARNE\B\Późna jesień\2,lynx
73,2022-12-09 00-23-56.JPG,01_CZARNE\B\Późna jesień\2,lynx
74,2022-12-10 13-17-35.JPG,01_CZARNE\B\Późna jesień\2,human
75,2022-12-10 13-17-54.JPG,01_CZARNE\B\Późna jesień\2,human
76,2022-12-10 13-37-23.JPG,01_CZARNE\B\Późna jesień\2,human
77,2022-12-10 13-37-31.JPG,01_CZARNE\B\Późna jesień\2,human
78,2022-12-10 13-37-39.JPG,01_CZARNE\B\Późna jesień\2,human
79,2022-12-10 13-37-48.JPG,01_CZARNE\B\Późna jesień\2,human
80,2022-12-10 13-38-00.JPG,01_CZARNE\B\Późna jesień\2,human
81,2022-12-10 13-38-08.JPG,01_CZARNE\B\Późna jesień\2,human
82,2022-12-10 13-43-49.JPG,01_CZARNE\B\Późna jesień\2,dog
83,2022-12-06 21-20-18.JPG,01_CZARNE\B\Późna jesień\3,roedeer
84,2022-12-06 21-20-43.JPG,01_CZARNE\B\Późna jesień\3,roedeer
85,2022-12-09 03-58-54.JPG,01_CZARNE\B\Późna jesień\3,wildboar
86,2022-12-09 03-59-04.JPG,01_CZARNE\B\Późna jesień\3,wildboar
87,2022-12-09 03-59-13.JPG,01_CZARNE\B\Późna jesień\3,wildboar
88,2022-12-10 13-17-29.JPG,01_CZARNE\B\Późna jesień\3,human
89,2022-12-10 13-37-03.JPG,01_CZARNE\B\Późna jesień\3,human
90,2022-12-10 13-37-54.JPG,01_CZARNE\B\Późna jesień\3,human
91,2022-09-25 03-05-04.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
92,2022-09-25 03-05-14.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
93,2022-09-25 05-45-26.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
94,2022-09-25 05-45-36.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
95,2022-09-25 05-45-44.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
96,2022-09-25 05-45-54.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
97,2022-09-25 05-46-06.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
98,2022-09-25 05-46-14.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
99,2022-09-25 05-46-21.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
100,2022-09-25 06-02-57.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
101,2022-09-25 07-12-39.JPG,01_CZARNE\B\Wczesna jesień\1,squirrel
102,2022-09-26 06-12-21.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
103,2022-09-26 06-13-00.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
104,2022-09-26 06-14-39.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
105,2022-09-26 06-16-26.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
106,2022-09-26 06-16-34.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
107,2022-09-26 06-16-57.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
108,2022-09-26 06-17-05.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
109,2022-09-26 06-17-13.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
110,2022-09-26 06-17-21.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
111,2022-09-26 06-17-34.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
112,2022-09-26 06-17-44.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
113,2022-09-26 06-17-58.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
114,2022-09-26 06-18-05.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
115,2022-09-26 06-18-23.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
116,2022-09-26 06-18-31.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
117,2022-09-26 06-18-38.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
118,2022-09-26 06-18-47.JPG,01_CZARNE\B\Wczesna jesień\1,reddeer
119,2022-10-06 00-19-07.JPG,01_CZARNE\B\Wczesna jesień\1,wolf
120,2022-09-25 23-53-12.JPG,01_CZARNE\B\Wczesna jesień\2,rodent
121,2022-09-26 16-49-12.JPG,01_CZARNE\B\Wczesna jesień\2,bird
