,image,present_animal,detected_animal,correct
0,2020-01-07 00-47-51.JPG,jeleń szlachetny,jeleń szlachetny,True
1,2022-09-05 13-57-18.JPG,lis,lis,True
2,2022-09-06 19-34-11.JPG,lis,Brak,False
3,2022-09-10 22-41-29.JPG,borsuk,borsuk,True
4,2022-09-13 01-29-08.JPG,kuna,Brak,False
5,2022-09-13 06-37-29.JPG,wilk,Brak,False
6,2022-09-14 22-40-23.JPG,kuna,Brak,False
7,2022-09-18 21-59-44.JPG,sarna,sarna,True
8,2022-09-20 17-30-09.JPG,jeleń szlachetny,jeleń szlachetny,True
9,2022-10-04 22-50-45.JPG,brak,Brak,False
10,2022-10-05 06-44-14.JPG,sarna,Brak,False
11,2022-10-11 13-37-51.JPG,jeleń szlachetny,jeleń szlachetny,True
12,2022-10-11 21-01-17.JPG,jeleń szlachetny,jeleń szlachetny,True
13,2022-10-13 06-38-58.JPG,brak,Brak,False
14,2022-10-15 08-33-11.JPG,kuna,łasica,False
15,2022-10-30 20-48-28.JPG,lis,lis,True
16,2022-11-11 14-13-12.JPG,pies,pies,True
17,2022-11-16 23-45-52.JPG,tchórz,łasica,False
18,2022-11-19 09-37-54.JPG,sarna,sarna,True
19,2022-11-28 16-40-37.JPG,brak,Brak,False
20,2022-11-30 05-33-25.JPG,kuna,łasica,False
21,2022-11-30 08-17-34.JPG,lis,Brak,False
22,2022-12-01 06-54-54.JPG,lis,lis,True
23,2022-12-01 16-59-50.JPG,żubr,żubr,True
24,2022-12-03 04-00-38.JPG,jeleń szlachetny,Brak,False
25,2022-12-03 05-18-46.JPG,jeleń szlachetny,jeleń szlachetny,True
26,2022-12-04 14-41-11.JPG,brak,Brak,False
27,2022-12-05 08-12-37.JPG,jeleń szlachetny,jeleń szlachetny,True
28,2022-12-07 03-29-44.JPG,bóbr,lis,False
29,2022-12-07 14-37-26.JPG,sarna,Brak,False
30,2022-12-08 01-39-30.JPG,jeleń szlachetny,jeleń szlachetny,True
31,2022-12-08 04-05-01.JPG,lis,Brak,False
32,2022-12-14 00-23-46.JPG,brak,sarna,False
33,2022-12-15 03-24-41.JPG,jeleń szlachetny,Brak,False
34,2022-12-16 02-26-35.JPG,sarna,sarna,True
35,2022-12-23 03-59-18.JPG,jeleń szlachetny,Brak,False
36,2022-12-23 04-14-51.JPG,wilk,Brak,False
37,2022-12-27 21-51-25.JPG,jeleń szlachetny,sarna,False
38,2023-01-01 08-20-10.JPG,sarna,Brak,False
39,2023-02-03 00-53-19.JPG,sarna,Brak,False
40,2023-02-03 06-38-18.JPG,kuna,Brak,False
41,2023-02-04 05-07-49.JPG,lis,lis,True
42,2023-02-06 15-36-48.JPG,sarna,sarna,True
43,2023-02-23 16-50-45.JPG,lis,lis,True
44,2023-02-27 23-23-21.JPG,kuna,Brak,False
45,2023-02-28 04-18-55.JPG,wilk,wilk,True
46,2023-03-01 20-06-01.JPG,kuna,łasica,False
47,2023-03-04 01-35-07.JPG,zając,zajęczak,False
48,2023-04-15 20-53-34.JPG,kuna,łasica,False
49,2023-04-19 13-12-05.JPG,sarna,sarna,True
50,2023-04-25 04-19-55.JPG,wilk,Brak,False
51,2023-04-25 10-45-27.JPG,wiewiórka,wiewiórka,True
52,2023-04-25 18-58-29.JPG,dzik,dzik,True
53,2023-04-28 22-11-47.JPG,brak,Brak,False
54,2023-04-29 15-51-15.JPG,kuna,łasica,False
55,2023-05-01 00-04-04.JPG,brak,dzik,False
56,2023-05-01 20-37-52.JPG,brak,Brak,False
57,2023-05-02 02-56-03.JPG,sarna,Brak,False
