,image_path,species
0,../pictures/01_CZARNE/B/Lato/1/2023-07-16 08-48-23.JPG,bird
1,../pictures/01_CZARNE/B/Lato/1/2023-07-21 06-39-47.JPG,bird
2,../pictures/01_CZARNE/B/Lato/1/2023-07-25 13-56-58.JPG,bird
3,../pictures/01_CZARNE/B/Lato/1/2023-07-28 13-48-47.JPG,bird
4,../pictures/01_CZARNE/B/Lato/1/2023-07-29 08-26-10.JPG,bird
5,../pictures/01_CZARNE/B/Lato/1/2023-07-29 08-26-22.JPG,bird
6,../pictures/01_CZARNE/B/Lato/2/2023-07-18 02-03-54.JPG,red deer
7,../pictures/01_CZARNE/B/Lato/2/2023-07-18 02-06-43.JPG,red deer
8,../pictures/01_CZARNE/B/Lato/2/2023-07-25 18-36-14.JPG,empty
9,../pictures/01_CZARNE/B/Lato/2/2023-07-26 03-47-00.JPG,red deer
10,../pictures/01_CZARNE/B/Lato/2/2023-07-26 03-47-13.JPG,red deer
11,../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-08.JPG,red deer
12,../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-16.JPG,red deer
13,../pictures/01_CZARNE/B/Lato/2/2023-07-28 19-09-24.JPG,red deer
14,../pictures/01_CZARNE/B/Lato/3/2023-07-19 05-18-16.JPG,hare
15,../pictures/01_CZARNE/B/Lato/3/2023-07-22 04-52-44.JPG,red deer
16,../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-00-48.JPG,empty
17,../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-00-56.JPG,empty
18,../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-01-03.JPG,empty
19,../pictures/01_CZARNE/B/Lato/3/2023-07-22 14-01-15.JPG,empty
20,../pictures/01_CZARNE/B/Późna jesień/1/2022-11-28 07-13-27.JPG,empty
21,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-44.JPG,lynx
22,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-04 22-31-51.JPG,lynx
23,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-22.JPG,wolf
24,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-34.JPG,wolf
25,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-06 21-22-43.JPG,wolf
26,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-09 00-23-47.JPG,lynx
27,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-09 00-23-56.JPG,lynx
28,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-17-35.JPG,empty
29,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-17-54.JPG,empty
30,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-23.JPG,empty
31,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-31.JPG,empty
32,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-39.JPG,empty
33,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-37-48.JPG,empty
34,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-38-00.JPG,empty
35,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-38-08.JPG,empty
36,../pictures/01_CZARNE/B/Późna jesień/2/2022-12-10 13-43-49.JPG,dog
37,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-06 21-20-43.JPG,roe deer
38,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-58-54.JPG,wild boar
39,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-04.JPG,wild boar
40,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-09 03-59-13.JPG,wild boar
41,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-17-29.JPG,empty
42,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-37-03.JPG,empty
43,../pictures/01_CZARNE/B/Późna jesień/3/2022-12-10 13-37-54.JPG,empty
44,../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-25 07-12-39.JPG,squirrel
45,../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-05.JPG,red deer
46,../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-34.JPG,red deer
47,../pictures/01_CZARNE/B/Wczesna jesień/1/2022-09-26 06-17-44.JPG,red deer
48,../pictures/01_CZARNE/B/Wczesna jesień/1/2022-10-06 00-19-07.JPG,wolf
49,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-25 23-53-12.JPG,rodent
50,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-26 16-49-12.JPG,bird
51,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-05-39.JPG,marten
52,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-09-28 23-08-46.JPG,marten
53,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-03 18-43-03.JPG,red deer
54,../pictures/01_CZARNE/B/Wczesna jesień/2/2022-10-07 06-54-07.JPG,squirrel
55,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-58-35.JPG,red deer
56,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-03.JPG,red deer
57,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-13.JPG,red deer
58,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 19-59-43.JPG,red deer
59,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-03-09.JPG,red deer
60,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-05-58.JPG,red deer
61,../pictures/01_CZARNE/B/Wiosna/1/2023-05-07 20-06-25.JPG,red deer
62,../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-44-08.JPG,red deer
63,../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-45-56.JPG,red deer
64,../pictures/01_CZARNE/B/Wiosna/1/2023-05-10 13-46-13.JPG,red deer
65,../pictures/01_CZARNE/B/Wiosna/1/2023-05-12 21-40-42.JPG,beaver
66,../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-09-45.JPG,bird
67,../pictures/01_CZARNE/B/Wiosna/1/2023-05-14 11-10-20.JPG,bird
68,../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-22-22.JPG,beaver
69,../pictures/01_CZARNE/B/Wiosna/1/2023-05-16 22-39-18.JPG,beaver
70,../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-53-24.JPG,fox
71,../pictures/01_CZARNE/B/Wiosna/1/2023-05-21 09-56-18.JPG,fox
72,../pictures/01_CZARNE/B/Wiosna/2/2023-05-04 09-00-11.JPG,bird
73,../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-01.JPG,red deer
74,../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-39-30.JPG,red deer
75,../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 13-41-33.JPG,red deer
76,../pictures/01_CZARNE/B/Wiosna/2/2023-05-07 17-57-20.JPG,red deer
